OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
SCD 1,1993-009B,2026-09-12T19:41:10.127040,14.46148282,.00419085,24.9708,26.4799,345.8541,145.2976,0,U,22490,999,77381,.33233652E-4,.307E-5,0
TECHSAT 1B (GO-32),1998-043D,2026-09-12T22:30:35.450784,14.24442506,.00011218,99.0150,250.9421,17.3116,342.8100,0,U,25397,999,46382,.29687198E-4,.22E-6,0
SCD 2,1998-060A,2026-09-12T17:24:16.748640,14.45551819,.0016587,24.9946,252.3043,329.1483,192.1712,0,U,25504,999,47300,.43147862E-4,.337E-5,0
DLR-TUBSAT,1999-029B,2026-09-12T22:06:49.074048,14.52444508,.00153709,98.6766,254.3426,84.0483,276.2463,0,U,25757,999,44598,.19596214E-4,.31E-6,0
TERRA,1999-068A,2026-09-12T22:54:38.677248,14.61159073,.00014982,97.9373,301.9857,350.6791,109.9110,0,U,25994,999,42242,.56385252E-4,.233E-5,0
MAROC-TUBSAT,2001-056D,2026-09-12T18:11:52.130400,13.70265541,.00190504,99.8135,74.2989,279.2562,94.3391,0,U,27004,999,23818,.8871086E-5,-.39E-6,0
AQUA,2002-022A,2026-09-12T22:04:56.577792,14.62199198,.00016214,98.4386,227.0016,69.3992,347.8923,0,U,27424,999,29609,.11268935E-3,.518E-5,0
SHIYAN-1 (SY-1),2004-012A,2026-09-12T16:15:16.184160,15.35818009,.00064037,97.8645,339.5430,75.0961,285.0991,0,U,28220,999,22451,.31924444E-3,.11047E-3,0
AURA,2004-026A,2026-09-12T21:35:50.966016,14.61438049,.00015304,98.3510,213.1229,70.1356,290.0009,0,U,28376,999,17902,.11488155E-3,.52E-5,0
IRS-P5 (CARTOSAT-1),2005-017A,2026-09-12T23:37:50.226240,14.91235841,.00025364,97.5294,275.0692,105.0658,255.0842,0,U,28649,999,15690,.88426666E-4,.827E-5,0
SINAH 1,2005-043D,2026-09-12T22:29:05.215488,14.64207982,.00144718,98.2985,30.8358,6.8134,353.3262,0,U,28893,999,11336,.45899833E-4,.192E-5,0
RESURS-DK 1,2006-021A,2026-09-12T22:39:16.718400,15.13507083,.00054809,69.9301,112.3327,215.6720,144.4081,0,U,29228,999,11585,.92767025E-4,.1556E-4,0
ARIRANG-2 (KOMPSAT-2),2006-031A,2026-09-12T23:02:51.477792,14.64703255,.00149294,97.8331,76.1844,150.0075,11.2074,0,U,29268,999,7432,.16997871E-4,.46E-6,0
LAPAN-TUBSAT,2007-001A,2026-09-12T23:50:26.444832,14.86025432,.00106916,98.1397,257.2272,260.1300,99.8708,0,U,29709,999,6419,.1940572E-4,.112E-5,0
HAIYANG-1B,2007-010A,2026-09-12T21:27:15.766272,14.31045235,.00125216,98.3602,234.3791,305.2219,54.7792,0,U,31113,999,1318,.32723243E-4,.44E-6,0
COSMO-SKYMED 1,2007-023A,2026-09-12T22:45:49.771872,14.97435686,.00016047,97.8833,88.5656,93.3033,266.8372,0,U,31598,999,4292,.18280275E-3,.2067E-4,0
TERRASAR-X,2007-026A,2026-09-12T11:12:48.811104,15.19150191,.00018727,97.4468,261.9386,83.5751,276.5697,0,U,31698,999,6647,.8094087E-5,.103E-5,0
WORLDVIEW-1 (WV-1),2007-041A,2026-09-12T22:06:42.297696,15.24590218,.00019843,97.3872,14.4108,93.7702,266.3762,0,U,32060,999,5624,.18291191E-3,.4437E-4,0
YAOGAN-3,2007-055A,2026-09-12T23:30:01.173600,14.91057655,.00018736,97.8114,284.9870,91.5831,268.5602,0,U,32289,999,1895,.18733494E-3,.1799E-4,0
COSMO-SKYMED 2,2007-059A,2026-09-12T23:48:52.565184,14.82148365,.00013403,97.8915,78.3384,89.8977,270.2390,0,U,32376,999,1501,.36297023E-4,.237E-5,0
RADARSAT-2,2007-061A,2026-09-12T23:47:21.566112,14.29982306,.0001261,98.5813,261.6832,82.7355,277.3971,0,U,32382,999,97850,.47802947E-4,.8E-6,0
CARTOSAT-2A,2008-021A,2026-09-12T21:54:14.554080,14.79326911,.0011574,97.7556,301.5938,179.0265,181.0971,0,U,32783,999,99177,.89379283E-4,.616E-5,0
HUANJING 1A (HJ-1A),2008-041A,2026-09-12T22:50:03.024096,14.84156248,.00179279,97.6773,238.4476,206.5877,153.4420,0,U,33320,999,97142,.36871024E-4,.257E-5,0
HUANJING 1B (HJ-1B),2008-041B,2026-09-12T23:04:02.000928,14.83457496,.00346149,97.6605,241.3586,255.2402,104.4976,0,U,33321,999,97142,.25896816E-4,.162E-5,0
GEOEYE 1,2008-042A,2026-09-12T22:29:50.046720,14.64688757,.00055259,98.1267,328.8120,131.5811,228.5866,0,U,33331,999,96299,.58505955E-4,.264E-5,0
THEOS,2008-049A,2026-09-12T21:32:15.385056,14.20142448,.00013452,98.5491,310.2958,89.2470,270.8861,0,U,33396,999,93041,.11279222E-4,-.18E-6,0
COSMO-SKYMED 3,2008-054A,2026-09-12T21:51:11.647008,15.07416378,.00149732,97.8147,115.9157,334.4316,25.6169,0,U,33412,999,97015,.11947393E-3,.1747E-4,0
YAOGAN-4,2008-061A,2026-09-12T19:07:46.850592,14.83338778,.00150361,97.9322,188.6735,140.5897,219.6414,0,U,33446,999,95865,.86965409E-4,.66E-5,0
GOSAT (IBUKI),2009-002A,2026-09-12T21:19:58.295424,14.67534730,.0001597,98.0956,5.8995,96.5749,263.5637,0,U,33492,999,94432,.83683671E-4,.426E-5,0
DEIMOS-1,2009-041A,2026-09-12T22:51:05.119776,14.75313919,.00002383,97.7515,49.4398,59.5597,300.5636,0,U,35681,999,91982,.91214775E-4,.57E-5,0
DUBAISAT-1,2009-041B,2026-09-12T22:15:44.133696,14.75247999,.00111408,98.0174,28.2901,143.6230,216.5739,0,U,35682,999,91803,.10235568E-3,.642E-5,0
OCEANSAT-2,2009-051A,2026-09-12T21:54:06.257088,13.99667465,.00156175,98.2417,234.0376,350.6427,9.4446,0,U,35931,999,89160,-.87123931E-4,-.165E-5,0
WORLDVIEW-2 (WV-2),2009-055A,2026-09-12T21:52:01.374528,14.37919649,.0003645,98.4725,328.1560,335.2529,24.8483,0,U,35946,999,88825,.39381523E-4,.75E-6,0
SMOS,2009-059A,2026-09-12T18:07:17.940864,14.39764320,.00013647,98.4436,81.8174,81.1671,278.9672,0,U,36036,999,88605,.74501746E-4,.19E-5,0
YAOGAN-7,2009-069A,2026-09-12T16:33:29.951136,14.78076652,.00257668,97.9922,140.9566,115.4544,244.9337,0,U,36110,999,90255,.48434498E-4,.299E-5,0
TANDEM-X,2010-030A,2026-09-12T11:12:48.710016,15.19150426,.00016443,97.4470,261.9371,90.7934,269.3488,0,U,36605,999,89989,.8610932E-5,.114E-5,0
CARTOSAT-2B,2010-035A,2026-09-12T21:43:45.249312,14.78622185,.00100078,97.9876,305.8547,268.7835,91.2230,0,U,36795,999,87281,.61506493E-4,.398E-5,0
YAOGAN-10,2010-038A,2026-09-12T23:47:20.734080,14.85574818,.00015518,97.8952,278.6975,89.1675,356.4568,0,U,36834,999,87024,.1658672E-3,.138E-4,0
COSMO-SKYMED 4,2010-060A,2026-09-12T22:29:54.296736,14.82152083,.00013806,97.8905,78.2858,83.5082,276.6289,0,U,37216,999,85756,.72562451E-4,.525E-5,0
RESOURCESAT-2,2011-015A,2026-09-12T22:14:24.911808,14.21609256,.00112862,98.7565,322.7263,10.5258,349.6153,0,U,37387,999,79864,.4447296E-4,.53E-6,0
HAIYANG-2A,2011-043A,2026-09-13T00:08:21.094080,13.71463929,.00035962,99.3444,256.5277,126.6866,233.4613,0,U,37781,999,75870,-.52003576E-4,-.9E-6,0
RASAT,2011-044D,2026-09-12T23:12:05.816736,14.68233254,.0019125,98.0570,346.0190,274.7649,201.5029,0,U,37791,999,80606,-.13716342E-4,-.129E-5,0
SRMSAT,2011-058D,2026-09-12T16:22:22.512864,14.11591944,.00119825,19.9711,249.8734,86.8018,70.1276,0,U,37841,999,77019,.52563001E-4,.362E-5,0
PLEIADES 1A,2011-076F,2026-09-12T22:58:16.535712,14.58571375,.0001181,98.1920,329.8511,101.4610,72.4517,0,U,38012,999,78478,.24192554E-4,.67E-6,0
ZIYUAN 1-02C (ZY 1-02C),2011-079A,2026-09-12T22:48:06.289920,14.38271622,.00074233,98.4000,321.3920,52.0500,53.1401,0,U,38038,999,77182,.73061245E-4,.179E-5,0
ARIRANG-3 (KOMPSAT-3),2012-025B,2026-09-12T23:08:05.430336,14.62270076,.00049738,98.1267,211.9512,185.2406,174.8745,0,U,38338,999,76417,.61756371E-4,.265E-5,0
EXACTVIEW-1 (ADS-1B),2012-039C,2026-09-12T20:51:38.666592,14.25005361,.00098248,98.9870,15.2790,279.7442,80.2626,0,U,38709,999,73519,.43843751E-4,.56E-6,0
SPOT 6,2012-047A,2026-09-12T22:33:13.411584,14.58561547,.00016568,98.2049,322.1849,88.3766,271.7623,0,U,38755,999,74584,.26195638E-4,.76E-6,0
PLEIADES 1B,2012-068A,2026-09-12T23:00:07.596000,14.58564135,.00012732,98.1891,329.7696,100.1211,260.0132,0,U,39019,999,73364,.22504812E-4,.59E-6,0
GOKTURK 2,2012-073A,2026-09-12T23:08:34.700064,14.75610937,.00021436,97.6784,88.9934,74.8004,285.3443,0,U,39030,999,73745,.27772159E-4,.142E-5,0
LANDSAT 8,2013-008A,2026-09-12T22:07:56.858304,14.57098520,.00013264,98.2225,324.9798,95.1169,265.0181,0,U,39084,999,71067,.57637349E-4,.214E-5,0
SARAL,2013-009A,2026-09-12T22:55:54.870816,14.32906908,.00026575,98.5566,81.4257,52.0128,308.1296,0,U,39086,999,70817,.26035945E-4,.27E-6,0
